1,60.26,Lever Press,Yes
1,105.03,Lever Press,No
2,285.39,Lever Press,Yes
3,417.75,Lever Press,Yes
4,488.55,Lever Press,Yes
5,574.17,Lever Press,Yes
6,618.16,Lever Press,No
7,624.77,Lever Press,No
8,684.24,Lever Press,Yes
9,704.27,Lever Press,No
10,748.28,Lever Press,Yes
11,788.85,Lever Press,No
12,794.54,Lever Press,No
13,857.97,Lever Press,Yes
14,894.07,Lever Press,No
15,904.81,Lever Press,No
16,929.67,Lever Press,Yes
17,963.65,Lever Press,No
18,969.94,Lever Press,No
19,974.54,Lever Press,No
20,991.48,Lever Press,Yes
21,1021.08,Lever Press,No
22,1040.15,Lever Press,No
23,1067.06,Lever Press,Yes
24,1308.17,Lever Press,Yes
25,1338.98,Lever Press,No
26,1343.94,Lever Press,No
27,1365.73,Lever Press,No
28,1378.53,Lever Press,Yes
29,1664.22,Lever Press,Yes
