1,98.48,Lever Press,Yes
1,141.47,Lever Press,No
2,143.8,Lever Press,No
3,173.65,Lever Press,Yes
4,212.0,Lever Press,No
5,221.54,Lever Press,No
6,224.7,Lever Press,No
7,370.43,Lever Press,Yes
8,598.98,Lever Press,Yes
9,664.05,Lever Press,Yes
10,675.67,Lever Press,No
11,736.35,Lever Press,Yes
12,740.77,Lever Press,No
13,875.66,Lever Press,Yes
14,949.54,Lever Press,Yes
15,958.86,Lever Press,No
16,964.15,Lever Press,No
17,1328.94,Lever Press,Yes
18,1356.2,Lever Press,No
19,1357.56,Lever Press,No
20,1361.94,Lever Press,No
21,1845.37,Lever Press,Yes
22,1977.9,Lever Press,Yes
23,2048.63,Lever Press,Yes
