1,29.73,Lever Press,Yes
1,34.1,Lever Press,No
2,103.58,Lever Press,Yes
3,160.67,Lever Press,No
4,167.33,Lever Press,Yes
5,206.95,Lever Press,No
6,210.51,Lever Press,No
7,212.74,Lever Press,No
8,359.36,Lever Press,Yes
9,392.82,Lever Press,No
10,420.26,Lever Press,No
11,430.04,Lever Press,Yes
12,444.21,Lever Press,No
13,448.06,Lever Press,No
14,450.62,Lever Press,No
15,494.95,Lever Press,Yes
16,519.08,Lever Press,No
17,576.92,Lever Press,Yes
18,624.97,Lever Press,No
19,627.89,Lever Press,No
20,639.1,Lever Press,Yes
21,652.37,Lever Press,No
22,657.71,Lever Press,No
23,678.15,Lever Press,No
24,759.34,Lever Press,Yes
25,917.58,Lever Press,Yes
26,932.81,Lever Press,No
27,941.81,Lever Press,No
28,947.54,Lever Press,No
29,992.59,Lever Press,Yes
30,1017.82,Lever Press,No
31,1064.32,Lever Press,Yes
32,1124.28,Lever Press,No
33,1126.5,Lever Press,Yes
34,1168.53,Lever Press,No
35,1176.36,Lever Press,No
36,1184.62,Lever Press,No
37,1188.05,Lever Press,Yes
38,1191.58,Lever Press,No
39,1215.02,Lever Press,No
40,1259.44,Lever Press,Yes
41,1292.3,Lever Press,No
42,1295.14,Lever Press,No
43,1312.3,Lever Press,No
44,1324.33,Lever Press,Yes
45,1346.76,Lever Press,No
46,1367.57,Lever Press,No
47,1375.13,Lever Press,No
48,1378.54,Lever Press,No
49,1379.83,Lever Press,No
50,1384.06,Lever Press,No
51,1418.72,Lever Press,Yes
52,1440.97,Lever Press,No
53,1446.6,Lever Press,No
54,1525.17,Lever Press,Yes
55,1573.45,Lever Press,No
56,1589.07,Lever Press,Yes
57,1589.94,Lever Press,No
58,1603.85,Lever Press,No
59,1635.4,Lever Press,No
60,1652.77,Lever Press,Yes
61,1690.07,Lever Press,No
62,1691.29,Lever Press,No
63,1702.09,Lever Press,No
64,1718.72,Lever Press,Yes
65,1793.14,Lever Press,Yes
66,1816.73,Lever Press,No
67,1856.57,Lever Press,Yes
68,1875.5,Lever Press,No
69,1918.12,Lever Press,Yes
70,1954.54,Lever Press,No
71,1966.63,Lever Press,No
72,2042.48,Lever Press,Yes
73,2073.04,Lever Press,No
74,2091.03,Lever Press,No
75,2093.85,Lever Press,No
76,2101.31,Lever Press,No
77,2104.13,Lever Press,No
78,2106.42,Lever Press,No
79,2108.59,Lever Press,No
